hgnc.symbol	hgnc	pmid	pmc
AIP	358	29311797	PMC5744016
CTNNB1	2514	25546293	PMC4372110
HDAC3	4854	28771976	PMC5595690
HDAC6	14064	18558669	
HDAC6	14064	18930136	PMC2621359
HDAC6	14064	23487739	PMC3606981
HDAC6	14064	24844691	
HDAC6	14064	25031639	PMC4075151
HDAC6	14064	25546293	PMC4372110
HDAC6	14064	26631930	
HDAC6	14064	26751493	PMC4808800
HDAC6	14064	27181519	PMC5055418
HDAC6	14064	28760828	PMC5602388
HDAC6	14064	28803412	PMC5663814
HDAC6	14064	29311797	PMC5744016
HDAC6	14064	29844403	PMC5974403
MAPT	6893	21427723	PMC3120096
MAPT	6893	25031639	PMC4075151
MAPT	6893	26631930	
MAPT	6893	26751493	PMC4808800
MAPT	6893	28760828	PMC5602388
